"TAXON","LONGITUDE","LATITUDE"
"RestiSimil",19.9625,-34.7634
"WilldAresc",19.9729,-34.75685
"AgathImbri",19.97503,-34.7563
"ProteAcaul",19.61972,-34.715
"ProteAcaul",19.64333,-34.675
"IschyMonan",19.70306,-34.64833
"RestiSimil",19.70167,-34.64222
"ProteAcaul",19.94444,-34.63611
"ProteAcaul",19.95278,-34.62694
"ProteAcaul",19.95639,-34.62333
"ProteAcaul",19.95472,-34.62194
"ProteAcaul",19.95806,-34.6175
"ProteAcaul",19.96528,-34.61722
"ProteAcaul",19.47778,-34.60861
"ProteAcaul",19.49278,-34.60167
"StabeDista",19.70333,-34.59722
"ElegiFilac",19.70003,-34.59394
"ElegiStipu",19.70003,-34.59394
"EricaCocci",19.69422,-34.593
"AgathImbri",20.2825,-34.555
"HelicTeret",20.2825,-34.555
"OederImbri",20.2825,-34.555
"PentaCurvi",20.2825,-34.555
"PentaErios",20.2825,-34.555
"ProteAcaul",19.51861,-34.52722
"ProteAcaul",19.52694,-34.52389
"ProteAcaul",19.52472,-34.52028
"ProteAcaul",19.525,-34.50806
"ProteNitid",19.65806,-34.43333
"GrubbTomen",19.69228,-34.43164
"BerzeLanug",19.68383,-34.43069
"ProteNitid",19.65444,-34.425
"HelicTeret",20.40889,-34.42361
"HypodArgen",20.4153,-34.4233
"RestiTriti",20.4153,-34.4233
"BerzeLanug",20.69556,-34.4225
"EhrhaCapen",20.69556,-34.4225
"ElegiStipu",20.69556,-34.4225
"EragrCapen",20.69556,-34.4225
"HelicTeret",20.69556,-34.4225
"PentaCurvi",20.69556,-34.4225
"StabeCernu",20.69556,-34.4225
"WilldAresc",20.69556,-34.4225
"ProteAcaul",19.63889,-34.41667
"ProteNitid",19.40694,-34.40806
"HypodArgen",20.4094,-34.4056
"RestiTriti",20.4094,-34.4056
"HelicTeret",21.31444,-34.39944
"HelicTeret",21.31361,-34.39861
"BerzeLanug",20.60306,-34.36806
"ElegiAsper",20.60306,-34.36806
"ElegiFilac",20.60306,-34.36806
"EragrCapen",20.60306,-34.36806
"HelicTeret",20.60306,-34.36806
"HypodAlbo-",20.60306,-34.36806
"IndigHeter",20.60306,-34.36806
"OederImbri",20.60306,-34.36806
"PentaColor",20.60306,-34.36806
"PentaCurvi",20.60306,-34.36806
"PentaErios",20.60306,-34.36806
"ProteLauri",20.60306,-34.36806
"RestiTriti",20.60306,-34.36806
"SenecPinif",20.60306,-34.36806
"StabeCernu",20.60306,-34.36806
"WilldAresc",20.60306,-34.36806
"ElegiStipu",21.73472,-34.36583
"OederImbri",21.73472,-34.36583
"StabeDista",21.73472,-34.36583
"ElegiStipu",21.74306,-34.36555
"EricaCerin",21.74306,-34.36555
"ThamnFruti",21.74306,-34.36555
"EricaCerin",21.71111,-34.36528
"AgathBifid",21.71639,-34.36389
"EricaCerin",21.71639,-34.36389
