"V.s.Barcoda","Precis.Barcode","Casherb","Casno","Family","Clade","Scientific_Name","Taxon","Latitude.Decimal","Longitude.Decimal","Reference.Acc","Number.of.localities","Plant.life.form","Growth.Form","Growth.Form_Vn","Fire.response.trait","Fire.response.trait_Vn","fert1","fert2","fert3","fert4","fire_return","max_NDVI","ph1","ph2","ph3","ppt","recovery_rate","seasonality","tex1","tex2","tex3","tex4","time_to_recovery","tmax","tmin"
8000200,"NBG0161026-0","Null","Null","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-31.147157,18.968637,"<500m",341,"Perennial (occ. Annual) graminoid","PH ","PH ","Resprouter","OR",0.922235250473022,0,1,0,18.8545303344727,0.250707745552063,0.922235250473022,1,0.660004079341888,285.987091064453,3.26969861984253,0.0249179564416409,0,1,0,1,12.7936124801636,26.4368476867676,10.9933910369873
9001781,"PRE0367475-0","PRE","367475","Proteaceae","Leucadendron","Leucadendron rubrum Burm.f. ","LeucaRubru",-33.235055,23.45971,"501-2000m",57,"Perennial shrub","TS ","TS ","OS","OS",0.91858446598053,0,0,1,19.5677585601807,0.199422046542168,0.91858446598053,1,0,251.927322387695,4.03316450119019,0.0212725643068552,0,1,0.91858446598053,0,14.8763933181763,23.1188774108887,8.85490798950195
8010979,"PRE-372653","Null","Null","Proteaceae","Protea","Protea lorifolia (Salisb. ex Knight) Fourc.  ","ProteLorif",-33.23487,23.461398,"501-2000m",34,"Perennial shrub","up to 3m","TS","seeder","OS",0.91858446598053,0,0,1,19.5677585601807,0.199422046542168,0.91858446598053,1,0,251.927322387695,4.03316450119019,0.0212725643068552,0,1,0.91858446598053,0,14.8763933181763,23.1188774108887,8.85490798950195
8014101,"NBG-147351","Null","Null","Proteaceae","Protea","Protea lorifolia (Salisb. ex Knight) Fourc.  ","ProteLorif",-33.08565,23.687302,"<500m",34,"Perennial shrub","up to 3m","TS","seeder","OS",1,0,0,1,19.5789794921875,0.200641885399818,1,1,0,241.560760498047,4.04582691192627,0.0303511712700129,0,1,1,0,14.9085474014282,21.5576190948486,7.42702913284302
8012844,"PRE-825266","Null","Null","Proteaceae","Protea","Protea lorifolia (Salisb. ex Knight) Fourc.  ","ProteLorif",-33.062449,23.717902,"501-2000m",34,"Perennial shrub","up to 3m","TS","seeder","OS",1,0,0,1,21.7719535827637,0.179515734314919,1,1,0.451112329959869,251.952789306641,5.83192253112793,0.0150469038635492,0,1,1,0,20.8638458251953,20.7868900299072,6.78273105621338
8019624,"NBG-233684","NBG","233684","Restionaceae","Restio","Rhodocoma fruticosa (Thunb.) H.P.Linder","RhodoFruti",-33.235055,23.45971,"501-2000m",76,"Perennial restioid","GRA","GRA","OR","OR",0.91858446598053,0,0,1,19.5677585601807,0.199422046542168,0.91858446598053,1,0,251.927322387695,4.03316450119019,0.0212725643068552,0,1,0.91858446598053,0,14.8763933181763,23.1188774108887,8.85490798950195
8019296,"PRE-711496","PRE","711496","Restionaceae","Restio","Rhodocoma fruticosa (Thunb.) H.P.Linder","RhodoFruti",-33.08565,23.687302,"<500m",76,"Perennial restioid","GRA","GRA","OR","OR",1,0,0,1,19.5789794921875,0.200641885399818,1,1,0,241.560760498047,4.04582691192627,0.0303511712700129,0,1,1,0,14.9085474014282,21.5576190948486,7.42702913284302
8002085,"PRE0705113-0","Null","Null","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-34.429904,20.66372,"501-2000m",49,"Perennial herb","DS ","DS ","OR","OR",1,0,0.249206468462944,0,16.3329334259033,0.287002503871918,1,0.249206468462944,0.779217720031738,553.148132324219,1.17016112804413,0.0638997629284859,0,0.249206468462944,1,1,4.74019241333008,22.6657199859619,10.8227291107178
8002079,"PRE0228402-0","Null","Null","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-34.279446,18.994395,"501-2000m",49,"Perennial herb","DS ","DS ","OR","OR",1,0,0,0,16.3306293487549,0.343265771865845,1,0,0,1365.40283203125,1.1192684173584,0.0424557328224182,0,0,1,1,4.73228120803833,20.4619121551514,9.83404541015625
8002097,"PRE0228506-0","Null","Null","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-34.197878,19.154001,"501-2000m",49,"Perennial herb","DS ","DS ","OR","OR",1,0,0.399026930332184,0.600973069667816,16.5815963745117,0.280958652496338,1,1,0,1082.00659179688,1.38774144649506,0.0301051624119282,0,1,1,1,5.5877685546875,20.1604423522949,8.71444797515869
8002093,"PRE0228518-0","Null","Null","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-33.979078,21.249501,"501-2000m",49,"Perennial herb","DS ","DS ","OR","OR",1,0,0.423845618963242,0,15.7595510482788,0.248365789651871,1,0.423845618963242,0,550.074645996094,0.701145172119141,0.0216743815690279,0,0.423845618963242,1,1,2.73556232452393,23.4079875946045,9.97765254974365
8002094,"PRE0228491-0","Null","Null","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-33.971757,21.231195,"501-2000m",49,"Perennial herb","DS ","DS ","OR","OR",1,0.277531981468201,0.656092703342438,0,16.5654964447021,0.215508669614792,1,0.656092703342438,0,548.033935546875,1.46987462043762,0.0205451063811779,0,0.933624684810638,0.933624684810638,1,5.53328084945679,23.8427276611328,9.55309867858887
