TAXON,Growthform_trait,Fire_response,Growth_form,Pair,geocombined,map,mmp01,pptconc,rec_rate,tmax01,tmin07
AgathBifid,ShrubOR,A,Low shrub,pair1,0.6629,0.4519,0.4935,0.4192,0.667,0.4547,0.6714
AgathCapen,ShrubOR,A,Low shrub,pair2,0.6124,0.4394,0.5579,0.4339,0.5294,0.6752,0.6081
AgathImbri,ShrubOR,A,Low shrub,pair3,0.6847,0.4479,0.407,0.6198,0.74,0.6578,0.7932
AgathMucro,ShrubOS,B,Low shrub,pair1,0.5963,0.6986,0.6857,0.6457,0.5997,0.6513,0.5679
AgathMundt,ShrubOS,B,Low shrub,pair2,0.7374,0.5835,0.8054,0.6911,0.7537,0.7658,0.5124
AgathUnica,ShrubOS,B,Low shrub,pair3,0.631,0.5904,0.7208,0.5964,0.669,0.5,0.4818
BerzeInter,ShrubOR,A,Medium shrub,pair4,0.7372,0.8448,0.9004,0.753,0.8533,0.6391,0.5511
BerzeLanug,ShrubOS,B,Medium shrub,pair4,0.6508,0.9128,0.7433,0.677,0.6349,0.6163,0.6427
CalopAsper,GraminoidOS,B,Graminoid,pair5,0.7398,0.9873,0.853,0.6796,0.796,0.6309,0.826
CalopHyali,GraminoidOR,A,Graminoid,pair5,0.7113,0.9844,0.8313,0.685,0.7549,0.6603,0.8099
CalopMonos,GraminoidOS,B,Graminoid,pair6,0.6594,0.8402,0.8506,0.8612,0.6546,0.6028,0.5092
CalopPanic,GraminoidOR,A,Graminoid,pair6,0.6885,0.6843,0.4537,0.7533,0.4429,0.5,0.5
ClutiAlate,ShrubOR,A,Low shrub,pair7,0.6978,0.7983,0.6463,0.3924,0.5346,0.5694,0.6015
ClutiErico,ShrubOS,B,Low shrub,pair7,0.6366,0.442,0.6293,0.653,0.5,0.5,0.6206
ClutiPolif,ShrubOS,B,Low shrub,pair8,0.6173,0.557,0.6327,0.3984,0.5031,0.6683,0.4588
ClutiPolyg,ShrubOR,A,Low shrub,pair8,0.6033,0.9897,0.8529,0.715,0.7301,0.6439,0.6727
EhrhaBulbo,GraminoidOR,A,Graminoid,pair9,0.4542,0.6852,0.5212,0.6593,0.4174,0.7667,0.64
EhrhaRehma,GraminoidOS,B,Graminoid,pair9,0.6443,0.9916,0.8729,0.7576,0.7065,0.6241,0.5391
ElegiAsper,GraminoidOR,A,Graminoid,pair10,0.6364,0.8973,0.7794,0.4525,0.6728,0.4276,0.5645
ElegiCapen,GraminoidOR,A,Graminoid,pair11,0.6511,0.8376,0.6758,0.6247,0.4658,0.6759,0.5161
ElegiFilac,GraminoidOS,B,Graminoid,pair10,0.685,0.8709,0.7143,0.6423,0.5954,0.6557,0.5823
ElegiGalpi,GraminoidOR,A,Graminoid,pair12,0.6632,0.7156,0.8097,0.7857,0.672,0.6124,0.602
ElegiJunce,GraminoidOR,A,Graminoid,pair13,0.6679,0.8851,0.8711,0.6346,0.7571,0.5209,0.5539
ElegiNeesi,GraminoidOS,B,Graminoid,pair11,0.6175,0.9463,0.7871,0.7346,0.5704,0.6995,0.4843
ElegiPersi,GraminoidOS,B,Graminoid,pair12,0.6907,0.9883,0.8683,0.6845,0.7971,0.6649,0.7488
ElegiRacem,GraminoidOR,A,Graminoid,pair14,0.6702,0.9572,0.868,0.6255,0.7571,0.6476,0.6242
ElegiSpath,GraminoidOS,B,Graminoid,pair13,0.6996,0.9863,0.8496,0.7006,0.7415,0.6547,0.7077
ElegiStipu,GraminoidOS,B,Graminoid,pair14,0.7368,0.764,0.7399,0.4341,0.7872,0.616,0.8526
EragrCapen,GraminoidOR,A,Graminoid,pair15,0.546,0.6235,0.7906,0.6949,0.7576,0.44,0.6034
EragrObtus,GraminoidOS,B,Graminoid,pair15,0.6623,0.5648,0.6944,0.7539,0.7108,0.6117,0.4262
EricaCerin,ShrubOR,A,Low shrub,pair16,0.7401,0.7241,0.7777,0.6896,0.7611,0.4591,0.6362
EricaCocci,ShrubOR,A,Medium shrub,pair17,0.6847,0.9783,0.8653,0.6737,0.7892,0.6447,0.7608
EricaConfe,ShrubOS,B,Low shrub,pair16,0.6586,0.8844,0.8905,0.8683,0.7548,0.6192,0.5679
EricaCurvi,ShrubOS,B,Medium shrub,pair17,0.6071,0.7739,0.7155,0.4538,0.6184,0.585,0.4294
EricaDensi,ShrubOS,B,Medium shrub,pair18,0.85,0.9187,0.9746,0.7595,0.9467,0.7955,0.5189
EricaEquis,ShrubOS,B,Low shrub,pair19,0.6179,0.967,0.8261,0.6927,0.7539,0.6598,0.7322
EricaErico,ShrubOS,B,Low shrub,pair20,0.7105,0.9863,0.8525,0.6796,0.7938,0.6502,0.8145
EricaMammo,ShrubOR,A,Medium shrub,pair18,0.4334,0.575,0.7509,0.863,0.5,0.4747,0.8127
EricaStrig,ShrubOR,A,Low shrub,pair19,0.573,0.6304,0.6723,0.6726,0.4942,0.646,0.6668
EricaUmbel,ShrubOR,A,Low shrub,pair20,0.5895,0.6232,0.6072,0.7406,0.4356,0.6393,0.7286
GnidiGalpi,ShrubOS,B,Low shrub,pair21,0.5917,0.9044,0.8664,0.5,0.7432,0.435,0.6324
GnidiGemin,ShrubOR,A,Low shrub,pair21,0.5972,0.5088,0.7925,0.8663,0.7284,0.6917,0.4288
GrubbRosma,ShrubOS,B,Medium shrub,pair22,0.6649,0.9852,0.912,0.626,0.8078,0.7545,0.619
GrubbTomen,ShrubOR,A,Medium shrub,pair22,0.7211,0.9569,0.8945,0.465,0.8656,0.6078,0.7607
