FAMILY,TAXON,Growthform_trait,Fire_response,Growth_form,Pair,geocombined,map,mmp01,pptconc,rec_rate,tmax01,tmin07
RUTACEAE,AgathBifid,ShrubOR,A,Low shrub,pair1,77.0888,6.9313,0,0.6364,5.4193,0.1659,9.7583
RUTACEAE,AgathMucro,ShrubOS,B,Low shrub,pair1,11.9277,43.4937,26.1541,0.9361,15.2684,2.22,0
RESTIONACEAE,ElegiAsper,GraminoidOR,A,Graminoid,pair10,4.8204,92.7687,0,0,1.8898,0.521,0
RESTIONACEAE,ElegiFilac,GraminoidOS,B,Graminoid,pair10,11.0096,67.5788,0,1.4329,1.5685,17.9537,0.4566
RESTIONACEAE,ElegiCapen,GraminoidOR,A,Graminoid,pair11,7.2022,79.8073,0,4.7146,0,7.9804,0.2955
RESTIONACEAE,ElegiNeesi,GraminoidOS,B,Graminoid,pair11,1.3143,66.7945,0,31.1063,0.6341,0.1139,0.0368
RESTIONACEAE,ElegiGalpi,GraminoidOR,A,Graminoid,pair12,22.8085,2.4004,0.1265,52.2951,0,9.0987,13.2708
RESTIONACEAE,ElegiPersi,GraminoidOS,B,Graminoid,pair12,0.2684,9.1504,5.3434,19.9103,65.3275,0,0
RESTIONACEAE,ElegiJunce,GraminoidOR,A,Graminoid,pair13,12.9711,32.5426,0.05,0.0031,34.8173,9.4141,10.2017
RESTIONACEAE,ElegiSpath,GraminoidOS,B,Graminoid,pair13,5.4519,38.2269,3.9554,9.7344,42.5854,0.046,0
RESTIONACEAE,ElegiRacem,GraminoidOR,A,Graminoid,pair14,0.197,24.2982,0,30.5896,44.067,0.8483,0
RESTIONACEAE,ElegiStipu,GraminoidOS,B,Graminoid,pair14,9.5613,21.9463,9.6748,0,38.3619,0.7178,19.7379
POACEAE,EragrCapen,GraminoidOR,A,Graminoid,pair15,1.9304,9.3989,4.1852,0.4009,82.8978,0.2834,0.9033
POACEAE,EragrObtus,GraminoidOS,B,Graminoid,pair15,11.3542,6.601,0,51.0487,28.3869,2.6093,0
ERICACEAE,EricaCerin,ShrubOR,A,Low shrub,pair16,29.4906,10.6665,0.3656,0.2116,59.2657,0,0
ERICACEAE,EricaConfe,ShrubOS,B,Low shrub,pair16,2.5446,16.9726,0.0108,69.7851,0,6.9667,3.7202
ERICACEAE,EricaCocci,ShrubOR,A,Medium shrub,pair17,0.8191,41.0013,3.3354,3.7482,49.5194,0.0079,1.5687
ERICACEAE,EricaCurvi,ShrubOS,B,Medium shrub,pair17,1.1497,57.011,24.6134,2.866,13.6666,0.3524,0.3409
ERICACEAE,EricaDensi,ShrubOS,B,Medium shrub,pair18,3.0198,2.1172,24.3508,0,66.0433,1.8161,2.6528
ERICACEAE,EricaMammo,ShrubOR,A,Medium shrub,pair18,0,0.4681,0,91.1247,2.9751,0.7724,4.6596
ERICACEAE,EricaEquis,ShrubOS,B,Low shrub,pair19,0,15.5859,0.5697,34.9691,46.848,1.994,0.0332
ERICACEAE,EricaStrig,ShrubOR,A,Low shrub,pair19,18.5323,12.6643,6.8945,50.58,0,2.3088,9.0201
RUTACEAE,AgathCapen,ShrubOR,A,Low shrub,pair2,48.4129,6.5944,3.607,1.9702,1.1096,20.0058,18.3001
RUTACEAE,AgathMundt,ShrubOS,B,Low shrub,pair2,12.9669,14.8502,17.6492,0.5812,37.5801,15.2946,1.0777
ERICACEAE,EricaErico,ShrubOS,B,Low shrub,pair20,2.6653,27.6181,13.0842,9.6882,45.8196,0.0035,1.1211
ERICACEAE,EricaUmbel,ShrubOR,A,Low shrub,pair20,12.4801,11.9196,0.7146,69.001,0.4695,0.1078,5.3074
THYMELAEACEAE,GnidiGalpi,ShrubOS,B,Low shrub,pair21,0.0785,80.4614,0.0035,0,16.5003,2.6263,0.3301
THYMELAEACEAE,GnidiGemin,ShrubOR,A,Low shrub,pair21,0.6354,0.2734,28.0127,62.9441,0,8.1345,0
GRUBBIACEAE,GrubbRosma,ShrubOS,B,Medium shrub,pair22,0,29.3942,0,12.6571,51.2868,6.6319,0.03
GRUBBIACEAE,GrubbTomen,ShrubOR,A,Medium shrub,pair22,1.8124,27.079,0,1.4097,67.3781,0.0126,2.3082
