"","Species","Lon","Lat"
"1","LeucaRubru",23.45971,-33.235055
"2","ProteLorif",23.461398,-33.23487
"3","ProteLorif",23.687302,-33.08565
"4","ProteLorif",23.717902,-33.062449
"5","RhodoFruti",23.45971,-33.235055
"6","RhodoFruti",23.687302,-33.08565
"7","ArctoAcaul",20.66372,-34.429904
"8","ArctoAcaul",18.994395,-34.279446
"9","ArctoAcaul",21.249501,-33.979078
"10","ArctoAcaul",21.231195,-33.971757
"11","ArctoAcaul",18.416108,-33.961845
"12","ArctoAcaul",21.224695,-33.953889
"13","ArctoAcaul",23.847686,-33.835764
"14","ArctoAcaul",19.59405,-32.864983
"15","ArctoAcaul",18.736916,-32.854335
"16","ArctoAcaul",19.096917,-32.709495
"17","ArctoAcaul",19.099417,-32.705521
"18","ArctoAcaul",19.163017,-32.631712
"19","ArctoAcaul",19.26666667,-32.53888889
"20","ArctoAcaul",19.080282,-31.50624
"21","ArctoAcaul",19.142853,-31.360569
"22","ArctoSemip",18.852004,-34.325183
"23","ArctoSemip",18.942106,-34.288734
"24","ArctoSemip",18.963092,-33.998337
"25","ArctoSemip",18.972981,-33.991472
"26","ArctoSemip",18.983185,-33.983894
"27","ArctoSemip",19.114546,-33.694557
"28","ArctoSemip",19.1075,-33.61111111
"29","ArctoSemip",19.169962,-33.540435
"30","ArctoSemip",19.397859,-33.478238
"31","ArctoSemip",20.311357,-33.390501
"32","ArctoSemip",18.77111111,-32.76
"33","ArctoSemip",19.143755,-32.627913
"34","ArctoSemip",19.15904,-32.430173
"35","ArctoSemip",19.104788,-32.362053
"36","ArctoSemip",19.063427,-32.239331
"37","AskidPanic",19.072672,-34.024665
"38","AskidPanic",18.96571,-34.011637
"39","AskidPanic",19.032682,-33.990342
"40","AskidPanic",18.985804,-33.981738
"41","AskidPanic",19.509915,-33.961854
"42","AskidPanic",19.52027778,-33.94333333
"43","AskidPanic",19.156826,-33.914351
"44","AskidPanic",19.199171,-33.870513
"45","AskidPanic",19.17886,-33.857045
"46","AskidPanic",19.061686,-33.816511
"47","AskidPanic",19.063269,-33.806307
"48","AskidPanic",19.035208,-33.76699
"49","AskidPanic",19.086641,-33.766762
"50","AskidPanic",19.143557,-33.655438
"51","AskidPanic",19.100058,-33.617454
"52","AskidPanic",19.106879,-33.611513
"53","AskidPanic",19.381768,-33.557401
"54","AskidPanic",19.402759,-33.550636
"55","AskidPanic",19.396125,-33.537503
"56","AskidPanic",19.50725,-33.472407
"57","AskidPanic",19.315022,-33.47194
"58","AskidPanic",19.27055556,-33.3675
"59","CeratAtrat",18.88852,-34.230115
"60","CeratAtrat",18.41194444,-34.2225
"61","CeratAtrat",19.056326,-34.084872
"62","CeratAtrat",19.059816,-34.082384
"63","CeratAtrat",20.708717,-33.992894
"64","CeratAtrat",18.97383,-33.992568
"65","CeratAtrat",18.972323,-33.991667
"66","CeratAtrat",18.972522,-33.991556
"67","CeratAtrat",18.972981,-33.991472
"68","CeratAtrat",20.709848,-33.987374
"69","CeratAtrat",20.710457,-33.986888
"70","CeratAtrat",18.983185,-33.983894
"71","CeratAtrat",18.986581,-33.982105
"72","CeratAtrat",18.403773,-33.980434
"73","CeratAtrat",20.707413,-33.975115
"74","CeratAtrat",18.418837,-33.973185
"75","CeratAtrat",18.407401,-33.973169
"76","CeratAtrat",21.55028,-33.970969
"77","CeratAtrat",18.426082,-33.966486
"78","CeratAtrat",18.416072,-33.96337
"79","CeratAtrat",20.425719,-33.943851
"80","CeratAtrat",21.052759,-33.938884
"81","CeratAtrat",19.159502,-33.919273
"82","CeratAtrat",19.158513,-33.916921
"83","CeratAtrat",19.16083333,-33.88722222
"84","CeratAtrat",22.431258,-33.883296
"85","CeratAtrat",22.432032,-33.882904
"86","CeratAtrat",22.030035,-33.871514
"87","CeratAtrat",21.963846,-33.861519
"88","CeratAtrat",19.053826,-33.815256
"89","CeratAtrat",19.08599,-33.760911
"90","CeratAtrat",19.121806,-33.603092
"91","CeratAtrat",19.450192,-33.439185
"92","CeratAtrat",19.08361111,-33.01083333
"93","CeratAtrat",19.076487,-32.895334
"94","CeratAtrat",19.169866,-32.633185
"95","CeratAtrat",18.966147,-32.37451
"96","CeratGlobo",19.603932,-34.021002
"97","CeratGlobo",19.025792,-34.020502
"98","CeratGlobo",19.028494,-34.018026
"99","CeratGlobo",19.030588,-34.01717
"100","CeratGlobo",19.040014,-34.007742
"101","CeratGlobo",20.474006,-33.987214
"102","CeratGlobo",18.984661,-33.971704
"103","CeratGlobo",19.535933,-33.957773
"104","CeratGlobo",19.51918,-33.95777
"105","CeratGlobo",22.415437,-33.899924
"106","CeratGlobo",22.029947,-33.871483
"107","CeratGlobo",19.081196,-33.76211
"108","CeratGlobo",19.147923,-33.655622
"109","CeratGlobo",21.331655,-33.401153
"110","CeratGlobo",19.660084,-33.375117
"111","CeratGlobo",19.621452,-33.367176
"112","CeratGlobo",19.310107,-33.186219
"113","CeratGlobo",19.10503222,-32.99097944
"114","CeratGlobo",19.186323,-32.859104
"115","CeratGlobo",19.10611111,-32.40555556
"116","CeratGlobo",19.106742,-32.366546
"117","CeratGlobo",19.059111,-32.206857
"118","ChondEbrac",18.928449,-34.326544
"119","ChondEbrac",18.89072,-34.255219
"120","ChondEbrac",19.136791,-34.146758
"121","ChondEbrac",19.05262,-34.082809
"122","ChondEbrac",19.003546,-34.049187
"123","ChondEbrac",19.035115,-34.012744
"124","ChondEbrac",18.430048,-33.981874
"125","ChondEbrac",19.506266,-33.971629
"126","ChondEbrac",18.411066,-33.968416
"127","ChondEbrac",18.42528,-33.96611
"128","ChondEbrac",18.414989,-33.9645
"129","ChondEbrac",18.415513,-33.95133
"130","ChondEbrac",18.980435,-33.936952
"131","ChondEbrac",20.877174,-33.876048
"132","ChondEbrac",19.129635,-33.692103
"133","ChondEbrac",19.16961,-33.601966
"134","ChondEbrac",19.990012,-33.240345
"135","CorycCarno",19.561562,-34.557072
"136","CorycCarno",18.41194444,-34.2225
"137","CorycCarno",19.597665,-34.021944
"138","CorycCarno",19.028234,-34.017703
"139","CorycCarno",18.965418,-34.011106
"140","CorycCarno",19.029428,-34.005684
"141","CorycCarno",18.415629,-33.984859
"142","CorycCarno",18.405724,-33.978881
