"FAMNO","NAME","ALTNAME","NOTES","COMPILER"
0,"UNKNOWN","","",
1,"THUIDIACEAE","","","J. van Rooy"
2,"SEMATOPHYLLACEAE","","","J. van Rooy"
3,"POTTIACEAE","","","J. van Rooy"
4,"ACROBOLBACEAE","","","S.M. Perold"
5,"MESEMBRYANTHEMACEAE","","","P. Chesselet, P.M. Burgoyne, C. Klak, H. Kurzweil, A.P. Dold, N.J. Griffin & G.F. Smith"
6,"LEPIDOZIACEAE","","","S.M. Perold"
7,"CUPRESSACEAE","","","H.F. Glen"
8,"BOMBACACEAE","","","M. Jordaan"
9,"ADELANTHACEAE","","","S.M. Perold"
10,"METEORIACEAE","","","J. van Rooy"
11,"FABACEAE","Leguminosae","","T. Nkonki, H.F. Glen, N. Swelankomo, M. Jordaan, G. Germishuizen & A. Moteetee"
12,"ALLIACEAE","","","C. Archer & R.H. Archer"
13,"ARAUCARIACEAE","","",
14,"ALISMATACEAE","","","R.P. Glen, C.D.K. Cook & R. Klopper"
15,"CEPHALOZIACEAE","","","S.M. Perold & J. van Rooy"
17,"CYATHEACEAE","","","J.P. Roux & R. Klopper"
18,"MEESIACEAE","","","J. van Rooy"
19,"AMBLYSTEGIACEAE","","","J. van Rooy"
20,"THELYPTERIDACEAE","","","J.P. Roux & R. Klopper"
21,"ORTHOTRICHACEAE","","","J. van Rooy"
22,"BARTRAMIACEAE","","","J. van Rooy"
23,"JUNGERMANNIACEAE","","","S.M. Perold"
24,"EUPHORBIACEAE","","","R.H. Archer"
25,"ANDREAEACEAE","","","J. van Rooy"
26,"ANEMIACEAE","","","J.P. Roux & R. Klopper"
27,"MARATTIACEAE","","","J.P. Roux & R. Klopper"
28,"LINACEAE","","","C. Archer, R. Klopper & M. Govender"
29,"DICRANACEAE","","","J. van Rooy"
30,"LEJEUNEACEAE","","","S.M. Perold"
31,"BRYACEAE","","","J. van Rooy"
32,"ANTHELIACEAE","","","S.M. Perold"
33,"ANTHOCEROTACEAE","","","S.M. Perold"
34,"SANTALACEAE","","","P.M. Burgoyne  & P.J.D. Winter"
35,"LEUCODONTACEAE","","","J. van Rooy"
36,"APONOGETONACEAE","","","R.P. Glen, C.D.K. Cook & R. Klopper"
37,"ARCHIDIACEAE","","","J. van Rooy"
38,"BIGNONIACEAE","","","S.J. Smithies"
39,"CACTACEAE","","","H.F. Glen & P.J.D. Winter"
40,"ASPARAGACEAE","","","E.T. Moeng, N.L. Meyer & R. Klopper"
41,"MALPIGHIACEAE","","","R.H. Archer"
42,"ASPLENIACEAE","","","J.P. Roux & R. Klopper"
43,"AYTONIACEAE","","","S.M. Perold"
44,"SAXIFRAGACEAE","","",
45,"DITRICHACEAE","","","J. van Rooy"
46,"CLEVEACEAE","","","S.M. Perold"
47,"POLYTRICHACEAE","","","J. van Rooy"
48,"BRUNIACEAE","","","M. Quint & P.J.D. Winter"
49,"ERPODIACEAE","","","J. van Rooy"
50,"SALVADORACEAE","","","M. Jordaan"
51,"AZOLLACEAE","","","J.P. Roux & R. Klopper"
52,"BALANITACEAE","","",
53,"BASELLACEAE","","","M. Jordaan & P.J.D. Winter"
55,"PROTEACEAE","","","J.P. Rourke & P.J.D. Winter"
56,"ELATINACEAE","","","C.L. Bredenkamp & R.H. Archer"
57,"MELIANTHACEAE","","","R.H. Archer"
58,"SELIGERIACEAE","","","J. van Rooy"
59,"OPHIOGLOSSACEAE","","",
60,"ZAMIACEAE","","","H.F. Glen & P.J.H. Hurter"
61,"BRACHYTHECIACEAE","","","J. van Rooy"
62,"HEDWIGIACEAE","","","J. van Rooy"
63,"BROMELIACEAE","","",
64,"BRYOBARTRAMIACEAE","","","J. van Rooy"
65,"LESKEACEAE","","","J. van Rooy"
66,"ANACARDIACEAE","","","R.H. Archer & E. Retief"
67,"MELASTOMATACEAE","","","C.L. Bredenkamp"
68,"BUTOMACEAE","","",
69,"HOOKERIACEAE","","",
70,"CALLITRICHACEAE","","","R.H. Archer & R.P. Glen"
71,"CALYMPERACEAE","","","J. van Rooy"
72,"CALYPOGEIACEAE","","","S.M. Perold"
73,"PTEROBRYACEAE","","","J. van Rooy"
74,"CAMPANULACEAE","","","W.G. Welman & C.N. Cupido"
75,"STILBACEAE","","","J.P. Rourke, Retzia by E. Retief"
76,"CANELLACEAE","","",
77,"CANNACEAE","","","C. Archer"
78,"CANNABACEAE","","",
79,"CARICACEAE","","",
80,"HYDRANGEACEAE","","",
81,"TILIACEAE","","","C.L. Bredenkamp & M. Jordaan"
82,"MONOCARPACEAE","","","S.M. Perold"
83,"ICACINACEAE","","","R.H. Archer & M. Jordaan"
84,"CASUARINACEAE","","","M. Jordaan & P.J.D. Winter"
85,"CATAGONIACEAE","","","J. van Rooy"
86,"RESEDACEAE","","","M.C. Makgakga & P.J.D. Winter"
87,"MELIACEAE","","","R.H. Archer"
88,"CEPHALOZIELLACEAE","","","S.M. Perold"
89,"ACHARIACEAE","","","C.L. Bredenkamp & R.H.Archer"
