"GENNO","SPNO","GrowthForm","Frequency"
2322,0,"Lichen","commonly"
1557,3,"Herb","commonly"
1557,3,"Geophyte","commonly"
1883,63,"Shrub","commonly"
1094,52,"Herb","commonly"
1898,86,"Herb","commonly"
1603,4,"Geophyte","commonly"
2524,4,"Herb","commonly"
2524,4,"Helophyte","occasionally"
2524,4,"Cyperoid","commonly"
1976,97,"Shrub","commonly"
1852,196,"Dwarf shrub","commonly"
1272,3,"Graminoid","commonly"
2489,29,"Cyperoid","commonly"
2489,29,"Mesophyte","commonly"
2489,29,"Herb","commonly"
3048,36,"Shrub","commonly"
3835,70,"Succulent","commonly"
3835,46,"Succulent","commonly"
3835,40,"Succulent","commonly"
3835,43,"Succulent","commonly"
3835,54,"Succulent","commonly"
3835,78,"Herb","commonly"
3835,78,"Succulent","commonly"
2881,5,"Herb","commonly"
2915,0,"Parasite","commonly"
2915,0,"Shrub","commonly"
3930,5,"Herb","commonly"
3930,5,"Climber","commonly"
3835,38,"Succulent","commonly"
3835,36,"Succulent","commonly"
3835,35,"Succulent","commonly"
3835,7,"Herb","commonly"
3835,7,"Succulent","commonly"
3835,6,"Herb","commonly"
3835,6,"Succulent","commonly"
3835,18,"Herb","commonly"
3835,18,"Succulent","commonly"
3835,16,"Herb","commonly"
3835,16,"Succulent","commonly"
3835,322,"Succulent","commonly"
3835,322,"Dwarf shrub","commonly"
3835,321,"Succulent","commonly"
3835,321,"Dwarf shrub","commonly"
3838,48,"Succulent","commonly"
3838,48,"Dwarf shrub","commonly"
3838,49,"Succulent","commonly"
3838,49,"Dwarf shrub","commonly"
3835,320,"Succulent","commonly"
3835,320,"Dwarf shrub","commonly"
3835,275,"Herb","commonly"
3835,275,"Succulent","commonly"
3835,311,"Succulent","commonly"
3835,311,"Dwarf shrub","commonly"
3835,450,"Herb","commonly"
3835,450,"Succulent","commonly"
3835,436,"Herb","commonly"
3835,436,"Succulent","commonly"
3835,385,"Herb","commonly"
3835,385,"Succulent","commonly"
3835,387,"Herb","commonly"
3835,387,"Succulent","commonly"
3835,388,"Herb","commonly"
3835,388,"Succulent","commonly"
3835,425,"Succulent","commonly"
3835,425,"Dwarf shrub","commonly"
3320,33,"Herb","commonly"
3838,10,"Succulent","commonly"
3838,10,"Shrub","commonly"
3455,36,"Shrub","commonly"
3835,160,"Succulent","commonly"
