"TAXNAME","family_GM","monoecious","dioecious","resprout_postfire","serotinous","graminoid","low_shrub","mid_shrub","tall_shrub","tree","plant_longevity","flammability","pollination","dispersal","SpeciesFull","Genus","Species","Subspecies"
"Acacia cyclops","FABACEAE",1,0,0,0,0,0,0,0,1,3,"h","i","m","Acacia cyclops A.Cunn. ex G.Don","Acacia","cyclops",""
"Acacia karroo","FABACEAE",1,0,1,0,0,0,0,1,1,3,"l","i","m","Acacia karroo Hayne","Acacia","karroo",""
"Acmadenia nivea","RUTACEAE",1,0,0,0,0,1,0,0,0,2,"h","i","p","Acmadenia nivea I.Williams","Acmadenia","nivea",""
"Acmadenia tetragona","RUTACEAE",1,0,0,0,0,1,0,0,0,2,"h","i","p","Acmadenia tetragona (L.f.) Bartl. & H.L.Wendl.","Acmadenia","tetragona",""
"Agathosma betulina","RUTACEAE",1,0,1,0,0,0,0,1,0,3,"h","i","p","Agathosma betulina (P.J.Bergius) Pillans","Agathosma","betulina",""
"Agathosma bifida","RUTACEAE",1,0,1,0,0,1,0,0,0,3,"h","i","p","Agathosma bifida (Jacq.) Bartl. & H.L.Wendl.","Agathosma","bifida",""
"Agathosma capensis","RUTACEAE",1,0,1,0,0,1,0,0,0,2,"h","i","p","Agathosma capensis (L.) Dummer","Agathosma","capensis",""
"Agathosma cerefolium","RUTACEAE",1,0,0,0,0,0,1,0,0,2,"h","i","p","Agathosma cerefolium (Vent.) Bartl. & H.L.Wendl.","Agathosma","cerefolium",""
"Agathosma crenulata","RUTACEAE",1,0,0,0,0,0,0,1,0,2,"h","i","p","Agathosma crenulata (L.) Pillans","Agathosma","crenulata",""
"Agathosma imbricata","RUTACEAE",1,0,1,0,0,1,0,0,0,2,"h","i","p","Agathosma imbricata (L.) Willd.","Agathosma","imbricata",""
"Agathosma mucronulata","RUTACEAE",1,0,0,0,0,1,0,0,0,2,"h","i","p","Agathosma mucronulata Sond.","Agathosma","mucronulata",""
"Agathosma mundtii","RUTACEAE",1,0,0,0,0,1,0,0,0,2,"h","i","p","Agathosma mundtii Cham. & Schltdl.","Agathosma","mundtii",""
"Agathosma ovata","RUTACEAE",1,0,0,0,0,0,0,1,0,2,"h","i","i","Agathosma ovata (Thunb.) Pillans","Agathosma","ovata",""
"Agathosma unicarpellata","RUTACEAE",1,0,0,0,0,1,0,0,0,2,"h","i","p","Agathosma unicarpellata (Fourc.) Pillans","Agathosma","unicarpellata",""
"Aloe ferox","ASPHODELACEAE",1,0,1,0,0,0,0,1,1,3,"l","b","w","Aloe ferox Mill.","Aloe","ferox",""
"Amphithalea axillaris","FABACEAE",1,0,0,0,0,1,0,0,0,2,"h","i","p","Amphithalea axillaris Granby","Amphithalea","axillaris",""
"Andropogon appendiculatus","POACEAE",1,0,0,0,1,0,0,0,0,2,"h","w","w","Andropogon appendiculatus Nees","Andropogon","appendiculatus",""
"Anginon difforme","APIACEAE",1,0,0,0,0,0,0,1,0,2,"m","i","w","Anginon difforme (L.) B.L.Burtt","Anginon","difforme",""
"Anthochortus crinalis","RESTIONACEAE",0,1,1,0,1,0,0,0,0,2,"h","w","p","Anthochortus crinalis (Mast.) H.P.Linder","Anthochortus","crinalis",""
"Anthospermum aethiopicum","RUBIACEAE",0,1,0,0,0,0,0,1,0,2,"h","w","p","Anthospermum aethiopicum L.","Anthospermum","aethiopicum",""
"Anthospermum galioides","RUBIACEAE",0,1,0,0,0,1,0,0,0,2,"m","w","p","Anthospermum galioides Rchb.f. subsp. galioides","Anthospermum","galioides","galioides"
"Anthospermum galioides","RUBIACEAE",0,1,0,0,0,1,0,0,0,2,"m","w","p","Anthospermum galioides Rchb.f. subsp. reflexifolium (Kuntze) Puff","Anthospermum","galioides","reflexifolium"
"Anthospermum prostratum","RUBIACEAE",0,1,0,0,0,1,0,0,0,2,"l","w","p","Anthospermum prostratum Sond.","Anthospermum","prostratum",""
"Antimima dasyphylla","AIZOACEAE",1,0,0,0,0,1,0,0,0,2,"l","i","p","Antimima dasyphylla (Schltr.) H.E.K.Hartmann","Antimima","dasyphylla",""
"Apodytes dimidiata","ICACINACEAE",1,0,0,0,0,0,0,0,1,3,"l","i","m","Apodytes dimidiata E.Mey. ex Arn. subsp. dimidiata","Apodytes","dimidiata","dimidiata"
"Argyrolobium collinum","FABACEAE",1,0,1,0,0,0,1,0,0,3,"h","i","p","Argyrolobium collinum Eckl. & Zeyh.","Argyrolobium","collinum",""
"Argyrolobium filiforme","FABACEAE",1,0,1,0,0,1,0,0,0,3,"l","i","p","Argyrolobium filiforme (Thunb.) Eckl. & Zeyh.","Argyrolobium","filiforme",""
"Aspalathus ciliaris","FABACEAE",1,0,0,0,0,0,1,0,0,1,"h","i","p","Aspalathus ciliaris L.","Aspalathus","ciliaris",""
"Aspalathus crassisepala","FABACEAE",1,0,0,0,0,1,0,0,0,1,"h","i","p","Aspalathus crassisepala R.Dahlgren","Aspalathus","crassisepala",""
"Aspalathus kougaensis","FABACEAE",1,0,0,0,0,1,0,0,0,1,"h","i","p","Aspalathus kougaensis (Garab. ex R.Dahlgren) R.Dahlgren","Aspalathus","kougaensis",""
"Aspalathus linearis","FABACEAE",1,0,1,0,0,0,0,1,0,2,"h","i","p","Aspalathus linearis (Burm.f.) R.Dahlgren","Aspalathus","linearis",""
"Aspalathus rubens","FABACEAE",1,0,0,0,0,1,0,0,0,1,"h","i","p","Aspalathus rubens Thunb.","Aspalathus","rubens",""
"Asparagus burchellii","ASPARAGACEAE",1,0,1,0,0,0,1,0,0,3,"m","i","m","Asparagus burchellii Baker","Asparagus","burchellii",""
"Asparagus lignosus","ASPARAGACEAE",1,0,1,0,0,1,0,0,0,3,"m","i","m","Asparagus lignosus Burm.f.","Asparagus","lignosus",""
"Asparagus retrofractus","ASPARAGACEAE",1,0,1,0,0,0,0,1,0,3,"m","i","m","Asparagus retrofractus L.","Asparagus","retrofractus",""
"Asparagus rubicundus","ASPARAGACEAE",1,0,1,0,0,0,1,0,0,3,"m","i","m","Asparagus rubicundus P.J.Bergius","Asparagus","rubicundus",""
"Asparagus scandens","ASPARAGACEAE",1,0,1,0,0,0,0,1,0,3,"m","i","m","Asparagus scandens Thunb.","Asparagus","scandens",""
"Asparagus striatus","ASPARAGACEAE",1,0,1,0,0,1,0,0,0,3,"m","i","m","Asparagus striatus (L.f.) Thunb.","Asparagus","striatus",""
"Asparagus suaveolens","ASPARAGACEAE",1,0,1,0,0,1,0,0,0,3,"m","i","m","Asparagus suaveolens Burch.","Asparagus","suaveolens",""
"Athanasia flexuosa","ASTERACEAE",1,0,0,0,0,0,0,1,0,2,"h","i","w","Athanasia flexuosa Thunb.","Athanasia","flexuosa",""
"Athanasia trifurcata","ASTERACEAE",1,0,0,0,0,0,1,0,0,1,"h","i","w","Athanasia trifurcata (L.) L.","Athanasia","trifurcata",""
"Aulax cancellata","PROTEACEAE",0,1,0,1,0,0,0,1,0,2,"h","i","w","Aulax cancellata (L.) Druce","Aulax","cancellata",""
"Aulax pallasia","PROTEACEAE",0,1,1,1,0,0,0,1,0,3,"h","i","w","Aulax pallasia Stapf","Aulax","pallasia",""
"Aulax umbellata","PROTEACEAE",0,1,0,1,0,0,0,1,0,2,"h","i","w","Aulax umbellata (Thunb.) R.Br.","Aulax","umbellata",""
"Azima tetracantha","SALVADORACEAE",1,0,1,0,0,0,0,1,0,3,"m","i","m","Azima tetracantha Lam.","Azima","tetracantha",""
"Berzelia galpinii","BRUNIACEAE",1,0,1,0,0,0,1,0,0,2,"h","i","w","Berzelia galpinii Pillans","Berzelia","galpinii",""
"Berzelia intermedia","BRUNIACEAE",1,0,1,0,0,0,1,0,0,2,"h","i","w","Berzelia intermedia (D.Dietr.) Schltdl.","Berzelia","intermedia",""
"Berzelia lanuginosa","BRUNIACEAE",1,0,0,0,0,0,1,1,0,2,"h","i","w","Berzelia lanuginosa (L.) Brongn.","Berzelia","lanuginosa",""
"Brabejum stellatifolium","PROTEACEAE",1,0,1,0,0,0,0,0,1,3,"h","i","p","Brabejum stellatifolium L.","Brabejum","stellatifolium",""
