Genus,species
Acacia,baileyana
Acacia,cultriformis
Acacia,cyclops
Acacia,dealbata
Acacia,decurrens
Acacia,elata
Acacia,fimbriata
Acacia,implexa
Acacia,longifolia
Acacia,mearnsii
Acacia,melanoxylon
Acacia,paradoxa
Acacia,podalyriifolia
Acacia,pycnantha
Acacia,saligna
Acacia,stricta
Acacia,viscidula
Acanthocereus,sp.
Acanthospermum,hispidum
Acanthus,mollis
Acanthus,polystachyus
Acer,buergerianum
Acer,negundo
Acer,sp.
Achyranthes,aspera
Acorus,calamus
Acrocarpus,fraxinifolius
Adiantum,raddianum
Agave,americana
Agave,americana
Agave,decipiens
Agave,sisalana
Agave,sp.
Ageratina,adenophora
Ageratina,riparia
Ageratum,conyzoides
Ageratum,conyzoides
Ageratum,houstonianum
Agrimonia,procera
Ailanthus,altissima
Albizia,chinensis
Albizia,lebbeck
Albizia,procera
Alhagi,maurorum
Alisma,plantago-aquatica
Alnus,glutinosa
Alpinia,sp.
Alpinia,zerumbet
Alternanthera,pungens
Amaranthus,hybridus
Amaranthus,sp.
Ambrosia,artemisiifolia
Ammi,majus
Amsinckia,menziesii
Anagallis,arvensis
Anigozanthos,flavidus
Anredera,cordifolia
Antigonon,leptopus
Apium,graveolens
Araucaria,bidwillii
Araucaria,sp.
Araujia,sericifera
Ardisia,crenata
Ardisia,elliptica
Argemone,albiflora
Argemone,mexicana
Argemone,ochroleuca
Argemone,sp.
Aristolochia,elegans
Arundo,donax
Astartea,fascicularis
Atriplex,inflata
Atriplex,muelleri
Atriplex,nummularia
Atriplex,semibaccata
Atriplex,sp.
Avena,spp.
Azolla,filiculoides
Azolla,pinnata
Azolla,sp.
Baeckia,sp.
Bambusa,balcooa
Bambusa,sp.
Bambuseae,sp.
Banksia,ericifolia
Banksia,integrifolia
Bauhinia,forficata
Bauhinia,purpurea
Bauhinia,sp.
Bauhinia,variegata
Begonia,cucullata
Bidens,bipinnata
Bidens,biternata
Bidens,pilosa
Boerhavia,erecta
Bougainvillea,glabra
Brachychiton,populneus
Briza,maxima
Bromus,catharticus
Bromus,diandrus
Bromus,pectinatus
Brugmansia,sp.
Bryophyllum,delagoense
Bryophyllum,pinnatum
Bryophyllum,proliferum
Buddleja,davidii
Buddleja,madagascariensis
Caesalpinia,decapetala
Caesalpinia,gilliesii
Caesalpinia,pulcherrima
Callisia,repens
Callistemon,citrinus
Callistemon,glaucus
Callistemon,rigidus
Callistemon,sp.
Callistemon,viminalis
Calothamnus,sanguineus
Calotropis,procera
Campuloclinium,macrocephalum
Canna,glauca
Canna,indica
Canna,sp.
Cardiospermum,grandiflorum
Cardiospermum,grandiflorum/halicacabum
Cardiospermum,halicacabum
Carica,papaya
Castanea,dentata
Castanea,sativa
Castanospermum,australe
Casuarina,cunninghamiana
Casuarina,cunninghamiana/equisetifolia
Casuarina,equisetifolia
Casuarina,sp.
Catharanthus,roseus
Cedronella,canariense
Cedrus,deodara
Celtis,australis
Celtis,sinensis
Celtis,sp.
Cenchrus,brownii
Centranthus,ruber
Cereus,jamacaru
Cestrum,aurantiacum
Cestrum,aurantiacum/laevigatum
Cestrum,elegans
Cestrum,laevigatum
Cestrum,parqui
Cestrum,sp.
Chamaesyce,prostrata
Chamaesyce,serpens
Chenopodium,album
Chondrilla,juncea
Chorizema,cordatum
Chromolaena,odorata
Chukrasia,tabularis
Cichorium,intybus
Cinnamomum,camphora
Cirsium,arvense
Cirsium,vulgare
Cissus,antarctica
Citrus,limon
Citrus,sp.
Clusia,rosea
Coix,lacryma-jobi
Colocasia,esculenta
Colocasia,sp.
Combretum,indicum
Commelina,benghalensis
Convolvulus,arvensis
Conyza,bonariensis
Conyza,canadensis
Conyza,primulifolia
Conyza,sp.
Conyza,sumatrensis
Coreopsis,lanceolata
Cortaderia,jubata
Cortaderia,jubata/selloana
Cortaderia,selloana
Corymbia,ficifolia
Cosmos,bipinnatus
Cotoneaster,coriaceus
Cotoneaster,franchetii
Cotoneaster,franchetii/pannosus
Cotoneaster,glaucophyllus
Cotoneaster,pannosus
Cotoneaster,sp.
Crataegus,monogyna
Crataegus,sp.
Crataegus,sp.
Crocosmia,paniculata
Crotalaria,agatiflora
Cryptomeria,japonica
Cryptostegia,grandiflora
Cuphea,ignea
Cuphea,micropetala
Cupressus,arizonica
Cupressus,lusitanica
Cupressus,sp.
Cuscuta,campestris
Cuscuta,campestris/suaveolens
Cuscuta,suaveolens
Cyathea,cooperi
Cydonia,oblonga
Cynodon,dactylon
Cynodon,sp.
Cyperus,cyperoides
Cytisus,scoparius
Dahlia,imperialis
Datura,ferox
Datura,inoxia
Datura,sp.
Datura,stramonium
Delonix,regia
Desmanthus,virgatus
Dianella,tasmanica
Droguetia,sp.
Duranta,erecta
Dysphania,ambrosioides
Echinodorus,cf.
Echinopsis,spachiana
Echium,plantagineum
Echium,plantagineum/vulgare
Echium,vulgare
Egeria,densa
Eichhornia,crassipes
