Barcode,Family,Scientific_Name,Latitude_Decimal,Longitude_Decimal,Collector,Collectors_Number,Collection_Date,CollectionDay,CollectionMonth,CollectionYear,Voucher,Locality,Habitat_Comments,AltitudeFrom,AltitudeMax,AltitudeUnits,District,Province,Grid,Reference_Accuracy,Latitude_Decimal2,Latitude,txtLatitudeMinutes,txtLatitudeSeconds,Direction,Longitude_Decimal2,Longitude,txtLongitudeMinutes,txtLongitudeSeconds,LogitudeDirection,Herb_Number,Type,PRECI_Number,Det,Source_File,Date_Captured
8001871,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.41696,20.833201,Koekemoer M.,2766,,25,8,2004,Vera,1 km on the turn-off to Salpeterkop east of Sutherland on the Fraserburg road.,No slope. Grazed.,1425,0,m,Sutherland,NC,3220BD,<500m,-32.41696,32,25,1,S,20.833201,20,49,60,E,,FALSE,PRE0591943-0,,,
8001895,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.706955,18.903083,Meyer M.P.K.,7372,,21,9,1983,Vera,20 KM NA VAN RHYNSDORP OP BONTE HEUWEL PAD,,0,0,,Van Rhynsdorp,WC,3118DB,<500m,-31.706955,31,42,25,S,18.903083,18,54,11,E,,FALSE,PRE0667920-0,,,
8001935,Asteraceae,Arctotheca calendula (L.) Levyns ,-31.942446,19.239452,Thompson M.F.,360,,24,8,1967,Vera,38.0 MI. FROM CLANWILLIAM TO CALVINIA,roadside/railwayside,0,0,,Clanwilliam,NC,3119CC,501-2000m,-31.942446,31,56,33,S,19.239452,19,14,22,E,,FALSE,PRE0216963-0,,,
8001831,Asteraceae,Arctotheca calendula (L.) Levyns ,-34.207485,21.68288,Bohnen P.,7855,,13,4,1981,Vera,AASVOELBERG; ALBERTINIA; PASS OVER MOUNTAIN ON ROAD TO GOURITZMOUTH,W aspect,0,0,,Riversdale,WC,3421BA,<500m,-34.207485,34,12,27,S,21.68288,21,40,58,E,,FALSE,PRE0624904-0,,,
8001882,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.482981,25.735875,Liebenberg L.C.C.,6314,,,7,1962,Vera,ADDO ELEPHANT NAT. P,,0,0,,KIRKWOOD - ALEXANDRIA,EC,3325BC,>10000m,-33.482981,33,28,59,S,25.735875,25,44,9,E,,FALSE,PRE0215474-0,,,
8001881,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.482981,25.735875,Liebenberg L.C.C.,6274,,,7,1962,Vera,ADDO ELEPHANT NAT. P,,0,0,,KIRKWOOD - ALEXANDRIA,EC,3325BC,>10000m,-33.482981,33,28,59,S,25.735875,25,44,9,E,,FALSE,PRE0216946-0,,,
8001838,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.31369,26.52353,Brink E.,33,,,10,1968,Vera,ALBANY DIV.; LUCAS AVENUE ALBANY MUSEUM SIDE,,0,0,,Albany,EC,3326BC,501-2000m,-33.31369,33,18,49,S,26.52353,26,31,25,E,,FALSE,PRE0215492-0,,,
8001837,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.313129,26.522068,Brink E.,31,,,10,1968,Vera,ALBANY DIV.; SOMERSET STREET IN FRONT OF NAT. HERB. MUSEUM IN NEWLY LAID LAWN,,0,0,,Albany,EC,3326BC,501-2000m,-33.313129,33,18,47,S,26.522068,26,31,19,E,,FALSE,PRE0215493-0,,,
8001841,Asteraceae,Arctotheca calendula (L.) Levyns ,-33.712235,26.600607,Burrows H.H.,2485,,26,9,1984,Vera,ALEXANDRIA DIST.; BOKNESSTRAND; C 7 KM SW OF KENTON - ON - SEA. NEAR BAKANAS RIVER. C 1 KM FROM SEA.,,0,0,,Alexandria,EC,3326DA,501-2000m,-33.712235,33,42,44,S,26.600607,26,36,2,E,,FALSE,PRE0689988-0,,,
8001911,Asteraceae,Arctotheca calendula (L.) Levyns ,-32.808826,26.802647,Phillipson P.B.,196,,28,2,1981,Vera,ALICE; ALICE AIRSTRIP,,0,0,,Victoria East,EC,3226DD,<500m,-32.808826,32,48,32,S,26.802647,26,48,10,E,,FALSE,PRE0690633-0,,,
