V's Barcoda,Precis Barcode,Casherb,Casno,Family,Clade,Scientific Name,Taxon,Latitude Decimal,Longitude Decimal,Reference Acc
9008181,799,Bolus,,Asteraceae,Stoebe,Amphiglossa corrudifolia D.C.,AmphiCorru,-33.18,22.38,
9008186,*BOL138991*,Bolus,,Asteraceae,Stoebe,Amphiglossa rudolphii Koekomoer,AmphiRudol,-31.75,19.3,A
8002122,PRE0228514-0,,,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.072366,20.591653,<500m
8002271,PRE0213512-0,,,Asteraceae,Arctotidinae,Arctotis arctotoides (L.f.) O.Hoffm. ,ArctoArcto,-33.81803,25.629072,501-2000m
8001849,PRE0216940-0,,,Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.81803,25.629072,501-2000m
8001876,PRE0732565-0,,,Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-31.591935,18.767083,501-2000m
8001887,PRE0215488-0,,,Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-31.498263,18.904197,501-2000m
8002445,PRE0229681-0,,,Asteraceae,Arctotidinae,Arctotis fastuosa Jacq. ,ArctoFastu,-33.107382,19.813732,501-2000m
8002446,PRE0229702-0,,,Asteraceae,Arctotidinae,Arctotis fastuosa Jacq. ,ArctoFastu,-33.077917,19.778851,501-2000m
8002471,PRE0772930-0,,,Asteraceae,Arctotidinae,Arctotis fastuosa Jacq. ,ArctoFastu,-32.450358,19.718632,501-2000m
8002465,PRE0769488-0,,,Asteraceae,Arctotidinae,Arctotis fastuosa Jacq. ,ArctoFastu,-32.258894,19.706056,501-2000m
8002469,PRE0766574-0,,,Asteraceae,Arctotidinae,Arctotis fastuosa Jacq. ,ArctoFastu,-32.210266,19.7105,501-2000m
8002441,PRE0732562-0,,,Asteraceae,Arctotidinae,Arctotis fastuosa Jacq. ,ArctoFastu,-31.596474,18.440128,501-2000m
8002443,NBG0034024-2,,,Asteraceae,Arctotidinae,Arctotis fastuosa Jacq. ,ArctoFastu,-31.587275,19.353493,501-2000m
8002523,PRE0732560-0,,,Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-31.623631,18.467287,<500m
8001985,NBG0200751-0,,,Asteraceae,Arctotidinae,Arctotheca populifolia (P.J.Bergius) Norl. ,ArctoPopul,-31.71655,18.2051,GPS
