Family,Clade,ScientificName,Taxon,LatitudeDecimal,LongitudeDecimal,ReferenceAcc,Localities,GrowthForm,Trait,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.072366,20.591653,<500m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.81803,25.629072,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-31.591935,18.767083,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-31.498263,18.904197,501-2000m,47,AH ,OS,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-31.623631,18.467287,<500m,21,AH,Null,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotheca populifolia (P.J.Bergius) Norl. ,ArctoPopul,-31.71655,18.2051,GPS,23,PH,Null,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.821153,25.647676,501-2000m,341,PH ,OR,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.806032,25.680197,501-2000m,341,PH ,OR,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.627784,25.531849,<500m,341,PH ,OR,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.079893,19.774514,501-2000m,341,PH ,OR,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-31.551928,18.318291,<500m,341,PH ,OR,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-31.538534,18.722376,<500m,341,PH ,OR,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-31.487694,19.467754,501-2000m,341,PH ,OR,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-31.147157,18.968637,<500m,341,PH ,OR,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta capensis Thunb. ,EhrhaCapen,-33.050734,19.835227,501-2000m,100,"GRA,GEO",OR,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta delicatula (Nees) Stapf ,EhrhaDelic,-31.244688,19.202723,501-2000m,28,GRA,OS,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta erecta Lam. var. erecta ,EhrhaErect,-33.838909,25.568575,501-2000m,98,GRA,OR,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta erecta Lam. var. erecta ,EhrhaErect,-33.804811,25.680145,501-2000m,98,GRA,OR,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta longiflora Sm. ,EhrhaLongf,-33.03276,19.883628,501-2000m,62,GRA ,OS,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta longiflora Sm. ,EhrhaLongf,-32.102291,19.368133,501-2000m,62,GRA ,OS,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta longiflora Sm. ,EhrhaLongf,-31.468458,18.704228,501-2000m,62,GRA ,OS,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta longiflora Sm. ,EhrhaLongf,-31.244755,19.20274,<500m,62,GRA ,OS,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta longifolia Schrad. ,EhrhaLongi,-32.102291,19.368133,501-2000m,28,GRA,OS ,,,,,,,,,,
Poaceae,Ehrharta,Ehrharta melicoides Thunb. ,EhrhaMelic,-31.487694,19.467754,501-2000m,21,GRA,FS,,,,,,,,,,
Proteaceae,Leucadendron,Leucadendron rubrum Burm.f. ,LeucaRubru,-33.235055,23.45971,501-2000m,57,TS ,OS,,,,,,,,,,
Poaceae,Pentameris,Pentaschistis airoides ssp airoid,PentaAiroA,-33.8333,25.5667,B.Galley,42,GRA,Null,,,,,,,,,,
Poaceae,Pentameris,Pentaschistis airoides ssp airoid,PentaAiroA,-32.5167,19.5667,B.Galley,42,GRA,Null,,,,,,,,,,
Poaceae,Pentameris,Pentaschistis ampla,PentaAmpla,-33.8333,25.5667,B.Galley,48,GRA,Null,,,,,,,,,,
Poaceae,Pentameris,Pentaschistis curvifolia,PentaCurvi,-33.8333,25.5667,B.Galley,94,GRA,FS,,,,,,,,,,
Poaceae,Pentameris,Pentaschistis eriostoma,PentaErios,-33.21,22.3,B.Galley,70,GRA,Null,,,,,,,,,,G
Poaceae,Pentameris,Pentaschistis glandulosa,PentaGland,-33.3828,24.4503,A.Galley,23,GRA,Null,,,,,,,,,,
Poaceae,Pentameris,Pentameris macrocalycina,PentmMacro,-33.3623,24.5022,A.Galley,53,GRA,FS,,,,,,,,,,
Proteaceae,Protea,Protea lorifolia (Salisb. ex Knight) Fourc.  ,ProteLorif,-33.23487,23.461398,501-2000m,34,TS ,OS,,,,,,,,,,
Proteaceae,Protea,Protea lorifolia (Salisb. ex Knight) Fourc.  ,ProteLorif,-33.099887,23.196095,501-2000m,34,TS ,OS,,,,,,,,,,
Proteaceae,Protea,Protea lorifolia (Salisb. ex Knight) Fourc.  ,ProteLorif,-33.08565,23.687302,<500m,34,TS ,OS,,,,,,,,,,
Proteaceae,Protea,Protea lorifolia (Salisb. ex Knight) Fourc.  ,ProteLorif,-33.062449,23.717902,501-2000m,34,TS ,OS,,,,,,,,,,
Restionaceae,Restio,Rhodocoma capensis Steud.,RhodoCapen,-33.10143,23.183324,501-2000m,24,GRA,FS,,,,,,,,,,
Restionaceae,Restio,Rhodocoma capensis Steud.,RhodoCapen,-33.101258,23.184099,501-2000m,24,GRA,FS,,,,,,,,,,
Restionaceae,Restio,Rhodocoma fruticosa (Thunb.) H.P.Linder,RhodoFruti,-33.235055,23.45971,501-2000m,76,GRA,OR,,,,,,,,,,
Restionaceae,Restio,Rhodocoma fruticosa (Thunb.) H.P.Linder,RhodoFruti,-33.1007,23.190694,501-2000m,76,GRA,OR,,,,,,,,,,
Restionaceae,Restio,Rhodocoma fruticosa (Thunb.) H.P.Linder,RhodoFruti,-33.100384,23.191235,501-2000m,76,GRA,OR,,,,,,,,,,
Restionaceae,Restio,Rhodocoma fruticosa (Thunb.) H.P.Linder,RhodoFruti,-33.08565,23.687302,<500m,76,GRA,OR,,,,,,,,,,
Orchidaceae,Satyrium,Satyrium acuminatum Lindl. ,SatyrAcumi,-33.525378,25.332359,501-2000m,36,GEO,OR,,,,,,,,,,
Orchidaceae,Satyrium,Satyrium longicolle Lindl. ,SatyrLclle,-33.840363,25.566934,501-2000m,23,GEO,OR,,,,,,,,,,
Asteraceae,Stoebe,Stoebe fusca (L.) Thunb.,StoebFusca,-32.5,19.54,Null,46,GEO,OR,,,,,,,,,,
Asteraceae,Stoebe,Stoebe spiralis Less.,StoebSpira,-33.21,21.5,Null,63,GEO,OR,,,,,,,,,,
Poaceae,Tribolium,Tribolium echinatum,TriboEchin,-31.5366,18.564907,501-2000m,54,GEO,OR,,,,,,,,,,
Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.840363,25.566934,501-2000m,124,GEO,OR,,,,,,,,,,
Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.839813,25.565679,501-2000m,124,GEO,OR,,,,,,,,,,
Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.812513,25.626396,501-2000m,124,GEO,OR,,,,,,,,,,
Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.812423,25.625829,501-2000m,124,GEO,OR,,,,,,,,,,
Poaceae,Tribolium,Tribolium hispidum,TriboHispi,-33.798807,25.688643,501-2000m,124,GEO,OR,,,,,,,,,,
Poaceae,Tribolium,Tribolium obtusifolium,TriboObtus,-33.798807,25.688643,501-2000m,33,GEO,OR,,,,,,,,,,
Poaceae,Tribolium,Tribolium uniolae,TriboUniol,-33.840363,25.566934,501-2000m,162,GEO,OR,,,,,,,,,,
Poaceae,Tribolium,Tribolium uniolae,TriboUniol,-33.798807,25.688643,501-2000m,162,GEO,OR,,,,,,,,,,
Poaceae,Tribolium,Tribolium uniolae,TriboUniol,-33.627784,25.531849,<500m,162,GEO,OR,,,,,,,,,,
Poaceae,Tribolium,Tribolium uniolae,TriboUniol,-32.935429,19.726085,501-2000m,162,GEO,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.600364,20.291633,501-2000m,49,GEO,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.429904,20.66372,501-2000m,49,GEO,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.421157,19.646133,501-2000m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.362675,21.426876,<500m,49,DS ,OR,,,,,,,,,,
Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-34.358165,18.959345,501-2000m,49,DS ,OR,,,,,,,,,,
