V's Barcoda,Precis Barcode,Casherb,Casno,Family,Clade,Scientific_Name,Taxon,Latitude Decimal,Longitude Decimal,Reference Acc,Number of localities,Plant life form ,Growth Form,Growth Form_Vn,Fire response trait,Fire response trait_Vn,,,,,,,,,,
8002122,PRE0228514-0,Null,Null,Asteraceae,Arctotidinae,Arctotis acaulis L. ,ArctoAcaul,-33.072366,20.591653,<500m,49,Perennial herb,DS ,DS ,OR,OR,,,,,,,,,,
8001849,PRE0216940-0,Null,Null,Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-33.81803,25.629072,501-2000m,47,Annual herb,AH ,AH ,OS,OS,,,,,,,,,,
8001876,PRE0732565-0,Null,Null,Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-31.591935,18.767083,501-2000m,47,Annual herb,AH ,AH ,OS,OS,,,,,,,,,,
8001887,PRE0215488-0,Null,Null,Asteraceae,Arctotidinae,Arctotheca calendula (L.) Levyns ,ArctoCalen,-31.498263,18.904197,501-2000m,47,Annual herb,AH ,AH ,OS,OS,,,,,,,,,,
8002523,PRE0732560-0,Null,Null,Asteraceae,Arctotidinae,Arctotis hirsuta (Harv.) Beauverd ,ArctoHirsu,-31.623631,18.467287,<500m,21,Annual herb,AH,AH,Null,Null,,,,,,,,,,
8001985,NBG0200751-0,Null,Null,Asteraceae,Arctotidinae,Arctotheca populifolia (P.J.Bergius) Norl. ,ArctoPopul,-31.71655,18.2051,GPS,23,Perennial herb succulent,PH,PH,Null,Null,,,,,,,,,,
8000714,PRE0805070-0,Null,Null,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.821153,25.647676,501-2000m,341,Perennial (occ. Annual) graminoid,PH ,PH ,Resprouter,OR,,,,,,,,,,
8000670,PRE0710745-0,Null,Null,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.806032,25.680197,501-2000m,341,Perennial (occ. Annual) graminoid,PH ,PH ,Resprouter,OR,,,,,,,,,,
8000639,PRE0609057-0,Null,Null,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.627784,25.531849,<500m,341,Perennial (occ. Annual) graminoid,PH ,PH ,Resprouter,OR,,,,,,,,,,
8000510,PRE0023641-0,Null,Null,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-33.079893,19.774514,501-2000m,341,Perennial (occ. Annual) graminoid,PH ,PH ,Resprouter,OR,,,,,,,,,,
8000217,PRE0671912-0,Null,Null,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-31.551928,18.318291,<500m,341,Perennial (occ. Annual) graminoid,PH ,PH ,Resprouter,OR,,,,,,,,,,
8000202,NBG0161150-0,Null,Null,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-31.538534,18.722376,<500m,341,Perennial (occ. Annual) graminoid,PH ,PH ,Resprouter,OR,,,,,,,,,,
8000222,PRE0681050-0,Null,Null,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-31.487694,19.467754,501-2000m,341,Perennial (occ. Annual) graminoid,PH ,PH ,Resprouter,OR,,,,,,,,,,
8000200,NBG0161026-0,Null,Null,Poaceae,Ehrharta,Ehrharta calycina Sm. ,EhrhaCalyc,-31.147157,18.968637,<500m,341,Perennial (occ. Annual) graminoid,PH ,PH ,Resprouter,OR,,,,,,,,,,
