"","V.s.Barcoda","Precis.Barcode","Casherb","Casno","Family","Clade","Scientific.Name","Taxon","Latitude.Decimal","Longitude.Decimal","Reference.Acc","Longitude.Decimal.1","Latitude.Decimal.1"
"29",8000200,"NBG0161026-0","","","Poaceae","Ehrharta","Ehrharta calycina Sm. ","EhrhaCalyc",-31.147157,18.968637,"<500m",18.968637,-31.147157
"50",9001781,"PRE0367475-0","PRE","367475","Proteaceae","Leucadendron","Leucadendron rubrum Burm.f. ","LeucaRubru",-33.235055,23.45971,"501-2000m",23.45971,-33.235055
"64",8010979,"PRE-372653","","","Proteaceae","Protea","Protea lorifolia (Salisb. ex Knight) Fourc.  ","ProteLorif",-33.23487,23.461398,"501-2000m",23.461398,-33.23487
"66",8014101,"NBG-147351","","","Proteaceae","Protea","Protea lorifolia (Salisb. ex Knight) Fourc.  ","ProteLorif",-33.08565,23.687302,"<500m",23.687302,-33.08565
"67",8012844,"PRE-825266","","","Proteaceae","Protea","Protea lorifolia (Salisb. ex Knight) Fourc.  ","ProteLorif",-33.062449,23.717902,"501-2000m",23.717902,-33.062449
"72",8019624,"NBG-233684","NBG","233684","Restionaceae","Restio","Rhodocoma fruticosa (Thunb.) H.P.Linder","RhodoFruti",-33.235055,23.45971,"501-2000m",23.45971,-33.235055
"75",8019296,"PRE-711496","PRE","711496","Restionaceae","Restio","Rhodocoma fruticosa (Thunb.) H.P.Linder","RhodoFruti",-33.08565,23.687302,"<500m",23.687302,-33.08565
"115",8002085,"PRE0705113-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-34.429904,20.66372,"501-2000m",20.66372,-34.429904
"120",8002079,"PRE0228402-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-34.279446,18.994395,"501-2000m",18.994395,-34.279446
"123",8002097,"PRE0228506-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-34.197878,19.154001,"501-2000m",19.154001,-34.197878
"129",8002093,"PRE0228518-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-33.979078,21.249501,"501-2000m",21.249501,-33.979078
"130",8002094,"PRE0228491-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-33.971757,21.231195,"501-2000m",21.231195,-33.971757
"131",8002135,"PRE0228490-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-33.961845,18.416108,"501-2000m",18.416108,-33.961845
"133",8002111,"NBG0033865-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-33.953889,21.224695,"501-2000m",21.224695,-33.953889
"135",8002075,"PRE0228528-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-33.943111,21.225951,"501-2000m",21.225951,-33.943111
"146",8002113,"PRE0787172-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-32.864983,19.59405,"501-2000m",19.59405,-32.864983
"147",8002155,"PRE0228392-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-32.854335,18.736916,"501-2000m",18.736916,-32.854335
"150",8002105,"PRE0710568-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-32.709495,19.096917,"501-2000m",19.096917,-32.709495
"151",8002106,"NBG0193286-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-32.705521,19.099417,"501-2000m",19.099417,-32.705521
"152",8002153,"PRE0725521-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-32.631712,19.163017,"501-2000m",19.163017,-32.631712
"156",8002143,"NBG0168932-0","","","Asteraceae","Arctotidinae","Arctotis acaulis L. ","ArctoAcaul",-31.50624,19.080282,"501-2000m",19.080282,-31.50624
