"","","<500m","500m - 2000m","501-2000m","A","A.Galley","B","B.Galley","GPS"
"AmphiCallu",3,0,0,0,0,0,0,0,0
"AmphiCorru",1,0,0,0,0,0,0,0,0
"AmphiGrise",2,0,0,0,0,0,0,0,0
"AmphiPerot",1,0,0,0,0,0,0,0,0
"AmphiRudol",0,0,0,0,1,0,0,0,0
"AmphiSusan",1,0,0,0,0,0,1,0,0
"AmphiTomen",8,0,0,0,0,0,0,0,0
"ArctoAcaul",0,6,0,42,0,0,0,0,1
"ArctoAdpre",0,2,0,4,0,0,0,0,0
"ArctoAenea",0,1,0,5,0,0,0,0,0
"ArctoAngus",0,7,0,18,0,0,0,0,0
"ArctoArcto",0,1,0,4,0,0,0,0,1
"ArctoAspeA",0,4,0,12,0,0,0,0,0
"ArctoAspeS",0,1,0,10,0,0,0,0,2
"ArctoBelli",0,5,0,6,0,0,0,0,0
"ArctoBrevi",0,1,0,3,0,0,0,0,0
"ArctoCalen",0,13,0,34,0,0,0,0,0
"ArctoDrege",0,0,0,1,0,0,0,0,0
"ArctoElong",0,0,0,2,0,0,0,0,0
"ArctoFastu",0,0,0,12,0,0,0,0,1
"ArctoForbe",0,1,0,4,0,0,0,0,2
"ArctoHirsu",0,6,0,15,0,0,0,0,0
"ArctoIncis",0,1,0,5,0,0,0,0,1
"ArctoLance",0,0,1,2,0,0,0,0,0
"ArctoPerfo",0,0,0,2,0,0,0,0,0
"ArctoPinna",0,1,0,5,0,0,0,0,0
"ArctoPopul",0,4,0,18,0,0,0,0,1
"ArctoProst",0,1,0,6,0,0,0,0,2
"ArctoRevol",0,1,0,4,0,0,0,0,2
"ArctoSemip",0,5,0,31,0,0,0,0,1
"ArctoStoec",0,3,0,4,0,0,0,0,0
"ArctoSulco",0,0,0,10,0,0,0,0,0
"ArctoVerba",0,0,0,1,0,0,0,0,1
"AskidAlbo-",0,0,0,2,0,0,0,0,1
"AskidAltic",0,1,0,2,0,0,0,0,1
"AskidAndre",0,0,0,4,0,0,0,0,1
"AskidCapit",0,0,1,3,0,0,0,0,2
"AskidChart",0,1,0,6,0,0,0,0,1
"AskidEster",0,3,0,3,0,0,0,0,0
"AskidInsig",0,1,0,3,0,0,0,0,1
"AskidLongi",0,0,0,2,0,0,0,0,1
"AskidNitid",0,1,0,8,0,0,0,0,4
"AskidPanic",0,3,0,20,0,0,0,0,2
"AskidRugos",0,0,0,1,0,0,0,0,0
"BryomLycop",9,0,0,0,4,0,3,0,0
"CeratAtrat",0,5,0,53,0,0,0,0,8
"CeratBicol",0,3,0,12,0,0,0,0,4
"CeratGlobo",0,4,0,22,0,0,0,0,1
"CeratGrand",0,2,0,19,0,0,0,0,0
"CeratHarve",0,0,0,7,0,0,0,0,0
"ChondAcock",0,0,0,2,0,0,0,0,0
"ChondDeust",0,3,0,10,0,0,0,0,0
"ChondEbrac",0,3,0,22,0,0,0,0,1
"ChondMicro",0,0,0,1,0,0,0,0,1
"ChondMucro",0,4,0,15,0,0,0,0,1
"ChondNudum",0,1,0,12,0,0,0,0,0
"ChondRectu",0,8,0,20,0,0,0,0,0
"ChondTecto",0,0,0,2,0,0,0,0,3
"CorycBicol",0,0,0,13,0,0,0,0,0
"CorycCarno",0,6,0,33,0,0,0,0,2
"CorycCrisp",0,1,0,21,0,0,0,0,2
"CorycDefle",0,0,0,2,0,0,0,0,0
"CorycExcis",0,1,0,14,0,0,0,0,0
"CorycIngea",0,0,0,4,0,0,0,0,1
"CorycMicro",0,0,0,2,0,0,0,0,0
"CorycOroba",0,5,0,52,0,0,0,0,4
"DispaAnoma",31,0,0,0,1,0,3,0,0
"DispaBarba",0,0,0,0,0,0,1,0,0
"DispaErico",54,0,0,0,1,0,6,0,0
"DispaGongy",6,0,0,0,1,0,1,0,0
"DispaKolbe",13,0,0,0,2,0,1,0,0
"DispaKraus",22,0,0,0,2,0,1,0,0
"DispaLaxif",10,0,0,0,0,0,1,0,0
"DispaPilos",2,0,0,0,0,0,1,0,0
"DispaTorti",11,0,0,0,0,0,0,0,0
"DispeBodki",0,2,0,4,0,0,0,0,0
"DispeBoluB",0,2,0,9,0,0,0,0,1
"DispeBoluM",0,0,0,4,0,0,0,0,0
"DispeCapeC",0,23,1,41,0,0,0,0,3
"DispeCircA",0,1,0,4,0,0,0,0,0
"DispeCircC",0,6,0,20,0,0,1,0,0
"DispeCucul",0,0,0,14,0,0,0,0,1
"DispeLindl",0,0,0,3,0,0,0,0,0
"DispeMacow",0,0,0,1,0,0,0,0,0
"DispePalud",0,4,0,20,0,0,0,0,2
"DispePurpP",0,1,0,3,0,0,0,0,1
"DispeThorn",0,0,0,1,0,0,0,0,0
"DispeVillo",0,16,0,39,0,0,1,0,6
"DoveaMacro",0,0,0,0,0,0,0,0,1
"DymonMarga",0,1,0,3,0,0,0,0,1
"EhrhaBrevi",0,8,0,21,0,0,0,0,1
"EhrhaBulbo",0,10,0,12,0,0,0,0,0
"EhrhaCalyc",0,95,0,241,0,0,0,0,5
"EhrhaCapen",0,42,0,58,0,0,0,0,0
"EhrhaDelic",0,8,0,20,0,0,0,0,0
"EhrhaDura",0,7,0,16,0,0,0,0,0
"EhrhaEburn",0,0,0,3,0,0,0,0,0
"EhrhaErect",0,26,0,72,0,0,0,0,0
"EhrhaLongf",0,21,0,41,0,0,0,0,0
"EhrhaLongi",0,8,0,20,0,0,0,0,0
"EhrhaMelic",0,1,0,16,0,0,0,0,4
"EhrhaOtton",0,27,0,41,0,0,0,0,1
"EhrhaRamos",0,25,0,73,0,0,0,0,0
"EhrhaRehma",0,13,0,54,0,0,0,0,0
"EhrhaRupes",0,13,0,44,0,0,0,0,0
"EhrhaSetac",0,16,0,37,0,0,0,0,0
"EhrhaThunb",0,26,0,34,0,0,0,0,3
"EhrhaTrian",0,3,0,5,0,0,0,0,0
"EhrhaVillo",0,20,0,51,0,0,0,0,0
"ElegiAsper",0,3,0,25,0,0,0,0,3
"ElegiAtrat",0,2,0,2,0,0,0,0,1
"ElegiCaesp",0,0,0,6,0,0,0,0,1
"ElegiCapen",0,6,0,22,0,0,0,0,5
