fire_clip1,map_clip1,mmp01_clip1,pptconc_clip1,soils_clip1,tmax01_clip1,tmin07_clip1
1.44501102,572,13,30.20000076,-0.238089994,27.39999962,7.400000095
2.135575056,461,10,25.79999924,0.0153245,27.79999924,6.699999809
2.339571953,483,11,25.79999924,-0.29390651,27.70000076,6.5
1.980604053,511,12,30.29999924,-0.065395087,26.20000076,6.599999905
2.750643015,501,12,31,-0.163702399,26.70000076,5.199999809
2.022988081,557,15,30.29999924,-0.099583752,24.89999962,5.800000191
2.145514011,467,10,25.79999924,-0.177802801,27.79999924,6.699999809
2.07151103,511,10,31,-0.190643996,26.70000076,6.900000095
1.842242956,524,11,31,-0.214316502,26.5,6.900000095
1.882797956,534,15,30.29999924,-0.04262726,25.10000038,6.099999905
1.494701982,548,13,30.20000076,-0.129119799,27.20000076,6.699999809
1.425773978,472,17,21.39999962,-0.086424753,27,6.599999905
2.372484922,470,10,25.79999924,-0.276631504,27.70000076,6.5
1.788315058,524,12,30.29999924,-0.247566402,26.60000038,6.699999809
2.215568066,469,10,25.79999924,-0.268570989,27.70000076,6.599999905
1.444224954,524,14,23.89999962,-0.213759497,26.20000076,7.599999905
1.934311032,486,10,31,-0.091835238,26.70000076,7.199999809
1.948068023,603,16,31,-0.04262216,24.79999924,5.900000095
1.769217968,569,14,31,-0.04262216,25.20000076,6.099999905
1.84859395,555,12,30.20000076,-0.051408,27.89999962,6.599999905
1.622218966,625,17,31,-0.04262216,24.89999962,6.199999809
2.289062023,467,12,25.79999924,-0.089630052,27.79999924,6.5
2.461141109,475,9,31,-0.204177096,26.5,7.5
2.345144987,566,12,31,-0.01263854,25.60000038,6.099999905
1.758659959,522,13,31,0.01138501,25.39999962,7.400000095
2.609568119,472,10,25.79999924,-0.255709887,27.60000038,6.400000095
2.202701092,524,10,30.20000076,-0.280897707,27.29999924,5.900000095
1.35105598,561,14,28.70000076,-0.238985196,26.70000076,7.199999809
2.010375023,480,12,25.79999924,-0.298029602,27.29999924,6
2.053385973,553,12,25.89999962,-0.202001497,27.5,6.199999809
1.844099045,555,12,26.60000038,-0.189214304,27.5,6.300000191
1.899260044,556,12,30.20000076,-0.127839401,28.39999962,6.300000191
1.546530008,526,15,30.29999924,-0.04262726,25.29999924,6.400000095
1.995432973,484,10,25.89999962,-0.004697787,27.5,6.5
2.207195044,458,10,30.60000038,0.007251469,27.70000076,6.599999905
1.879758954,413,11,25.89999962,-0.038599022,27.5,6.900000095
1.478189945,522,12,30.20000076,-0.280963212,27.39999962,7.599999905
2.430609941,493,11,31,0.004260039,27.20000076,5.900000095
1.428985,565,13,30.20000076,-0.274891794,27.10000038,6.900000095
1.744732022,557,13,26.60000038,-0.03888635,27.60000038,6.5
1.15378201,489,16,21.39999962,-0.225329593,25.89999962,7.599999905
1.108049035,457,16,21.39999962,-0.400965214,25.70000076,7.599999905
1.938508034,506,11,30.29999924,-0.02385371,26.70000076,6.5
1.547045946,555,14,23.89999962,-0.43020609,26.79999924,7.199999809
1.671357036,522,12,30.20000076,-0.234350204,26.79999924,7.599999905
1.699280977,510,12,30.20000076,-0.136195794,26.89999962,6.800000191
2.362423897,522,12,25.89999962,-0.02262531,27.60000038,6.5
1.652842999,543,13,26.60000038,-0.375953794,28,6.699999809
1.568686962,552,13,28.70000076,-0.358492613,26.79999924,6.699999809
1.515871048,562,13,28.70000076,-0.375978112,26.79999924,6.800000191
1.579632998,549,13,30.20000076,-0.279503286,27.20000076,7.5
1.165364027,661,19,30.5,-0.199413598,23.20000076,8.899999619
0.981237173,643,19,27.60000038,-0.052682839,23.29999924,8.899999619
1.861454964,531,13,31,0.007247875,27.20000076,6.800000191
1.921527982,501,11,31,0.002653849,27.5,6.699999809
1.84275198,488,10,30.60000038,-0.034785811,27.5,6.699999809
1.729715943,491,10,30.60000038,-0.03292118,27.60000038,6.800000191
1.884750962,460,13,25.89999962,-0.038597248,27.39999962,6.300000191
1.592887998,547,13,26.60000038,-0.483253509,26.79999924,7.699999809
1.618880033,556,13,26.60000038,-0.453390986,27.39999962,7.400000095
1.929672956,569,13,30.20000076,-0.337236702,28,6.300000191
2.003911018,573,13,26.60000038,-0.348518491,28.10000038,6.199999809
1.992555976,527,13,26.60000038,-0.29273349,27.89999962,6.800000191
1.541435003,552,18,23.89999962,-0.128702193,27.10000038,6.900000095
1.475106001,541,12,28.70000076,-0.240131706,25,7.800000191
1.848482966,515,11,29.89999962,-0.050891809,27.5,6.800000191
1.093372941,639,17,30.5,-0.057443291,24.89999962,7.900000095
2.221340895,557,11,25.89999962,-0.223365098,27.20000076,5.900000095
2.208347082,564,12,25.89999962,-0.123462297,27.10000038,5.800000191
1.584972978,582,16,31,-0.251264006,24.79999924,6.300000191
1.682013988,499,12,29.89999962,-0.276782602,27.39999962,7
1.529108047,517,12,30.20000076,-0.156829596,25.79999924,7.900000095
1.863083959,545,12,30.20000076,-0.005510729,27.5,6.900000095
1.471717954,535,14,23.89999962,-0.2617971,26.70000076,7.300000191
1.655316949,530,12,28.70000076,-0.197319105,26.89999962,6.900000095
1.455824018,565,14,30.29999924,-0.01552715,25.79999924,6.300000191
1.37945199,576,13,28.70000076,-0.407679588,24.5,8.300000191
1.639955997,549,13,28.70000076,-0.243753701,27.39999962,6.900000095
1.691599965,556,13,28.70000076,-0.179686099,27,6.800000191
1.509840965,556,13,28.70000076,-0.103692196,28,6.699999809
1.633115053,562,13,30.20000076,-0.221028596,27.89999962,6.699999809
1.46262598,567,13,28.70000076,-0.214972302,27,6.800000191
1.39497602,568,13,28.70000076,-0.429336488,26.29999924,7.5
2.20932889,563,12,30.60000038,-0.042629808,27.5,6.199999809
1.249529004,653,18,30.5,-0.294948101,24.89999962,7.900000095
1.566444039,543,14,26.60000038,-0.354727685,26.89999962,7.199999809
1.804517031,595,16,31,-0.121519998,24.79999924,5.900000095
1.618353963,587,15,31,-0.095558092,25.29999924,6
1.788177967,596,18,27.60000038,-0.122336797,24.89999962,6.5
2.545536995,545,10,31,-0.163786799,25.60000038,5.800000191
1.612032056,553,13,28.70000076,-0.261300594,27.20000076,6.800000191
2.433285952,467,9,31,-0.105626799,26.79999924,7.199999809
1.728371024,562,13,28.70000076,-0.184779704,27.10000038,6.599999905
1.591339946,566,13,28.70000076,-0.278729588,27,6.599999905
1.55330503,567,13,28.70000076,-0.204691201,26.39999962,7.099999905
1.628342986,451,13,25.89999962,-0.034756191,27.29999924,7.099999905
1.368913054,556,14,23.89999962,-0.2226239,26.60000038,7.400000095
1.492884994,528,12,29.89999962,-0.236865804,25.70000076,7.900000095
1.536012053,547,13,26.60000038,-0.314525992,26.79999924,7.699999809
1.521252036,537,13,30.20000076,-0.073444434,27,7.5
1.619452953,634,18,27.60000038,-0.202081904,24.89999962,6.699999809
1.288104057,538,17,23.89999962,-0.174013302,27.20000076,7
1.552409053,549,13,26.60000038,-0.414239198,27.20000076,7.5
2.312829018,523,9,31,-0.163786799,26.20000076,6.300000191
2.361417055,506,9,31,-0.105631098,26.5,6.5
1.683457971,516,11,31,0.01329167,26.29999924,7
1.623955965,639,17,30.5,-0.218251601,24.70000076,7.5
1.266767025,624,17,30.5,-0.251264006,25.20000076,6.900000095
1.931722999,602,16,31,-0.251264006,24.79999924,6.400000095
1.638604045,548,13,30.20000076,-0.169202998,28.29999924,6.699999809
1.61441803,607,16,30.5,-0.05138085,25.20000076,6.900000095
1.754358053,584,16,31,-0.215225101,24.70000076,6
1.209478021,617,20,27.60000038,0.01321244,24.70000076,8.399999619
1.117948055,640,18,30.5,-0.03094662,25.10000038,7.300000191
1.672925949,578,17,30.29999924,-0.209921807,25,6
1.909497023,572,18,29.89999962,-0.247573495,24.79999924,6.199999809
1.74932003,440,13,25.89999962,-0.025811279,27.39999962,7
2.558188915,546,11,30.60000038,-0.038846251,27.60000038,6.099999905
2.56270504,567,12,30.60000038,-0.042629808,27.10000038,5.699999809
1.752686977,568,16,30.29999924,-0.161582202,25.60000038,6.199999809
2.492197037,528,11,30.60000038,-0.042629808,28.29999924,5.800000191
1.329180956,603,13,28.70000076,-0.311509013,26,8.300000191
1.579661012,539,12,30.20000076,-0.082821883,26.79999924,7.599999905
1.724303961,409,12,25.89999962,-0.030130969,27.10000038,6.599999905
1.58012104,560,13,26.60000038,-0.119585402,27.29999924,6.400000095
1.47092104,553,13,28.70000076,-0.468156308,26.60000038,7.800000191
1.338464022,482,11,30.20000076,-0.388895392,25.70000076,8
1.783992052,556,13,26.60000038,-0.249462202,27.79999924,6.900000095
1.328273058,535,13,30.20000076,-0.256234199,26.89999962,7.5
2.198113918,467,9,30.60000038,0.01329855,27.10000038,7
1.665454984,458,13,25.89999962,-0.034756191,27.39999962,7
2.002662897,554,12,30.20000076,-0.171718702,27.79999924,6.5
2.188838959,469,9,30.60000038,0.01329855,27.5,6.400000095
1.097957969,629,19,30.5,0.017070349,24.60000038,8.600000381
1.531201005,557,13,26.60000038,-0.429003388,26.79999924,7.599999905
1.575222015,644,18,30.5,-0.169482604,24.89999962,7.5
1.639505029,549,13,26.60000038,-0.04587597,28.10000038,6.599999905
2.005656004,518,12,30.29999924,-0.100095198,26.20000076,6.400000095
1.83275497,521,12,30.29999924,-0.241112903,26.5,6.900000095
1.737190008,547,13,26.60000038,-0.234365106,27.70000076,6.900000095
1.542960048,657,19,30.5,-0.02604867,24.70000076,7.400000095
1.959426045,518,12,30.29999924,-0.02902659,26.39999962,6.400000095
1.719365954,516,12,30.20000076,-0.213754505,27.39999962,6.599999905
1.450198054,525,12,30.20000076,-0.166688904,26.60000038,7.699999809
2.178474903,541,13,30.29999924,-0.185192004,25.39999962,5.599999905
2.043786049,531,12,30.29999924,-0.156913906,25.89999962,6
1.784075975,489,12,26.60000038,-0.230744004,28.39999962,5.900000095
1.690322042,545,12,26.60000038,-0.168676198,28.10000038,6.199999809
1.744946003,521,13,26.60000038,-0.237062901,28.29999924,5.699999809
1.80597496,538,13,26.60000038,-0.195216402,27.60000038,6.599999905
1.872478962,524,13,26.60000038,-0.128991798,27.5,6.599999905
1.572901011,592,13,26.60000038,-0.238118902,28,6.300000191
1.094359994,361,11,15.5,-0.112186,25.5,6.300000191
1.133334041,374,11,17.70000076,-0.317539096,25.70000076,6.300000191
1.091912031,360,10,15.5,-0.227567196,25.39999962,6.300000191
1.660444021,382,11,15.5,-0.317543,25.70000076,6.300000191
1.152752995,359,10,15.5,-0.112173297,25.5,6.300000191
1.835425019,384,11,15.5,-0.378423303,26.5,6.099999905
1.821575046,359,11,17.70000076,-0.150814906,27.5,6.199999809
2.021380901,365,11,17.70000076,-0.205408901,28.20000076,6
1.906497002,378,11,17.70000076,-0.150421694,27.60000038,6
1.553647041,402,12,17.70000076,-0.399265409,26.79999924,6.099999905
1.850757003,366,12,17.70000076,-0.1957829,27.70000076,6.300000191
