NAME,x,y
Overberg Sandstone Fynbos,19.55168215,-34.57714737
Overberg Sandstone Fynbos,19.58501615,-34.19380637
Overberg Sandstone Fynbos,19.56834915,-34.17713937
Overberg Sandstone Fynbos,19.43501315,-34.37714337
Overberg Sandstone Fynbos,19.50168115,-34.16047237
Overberg Sandstone Fynbos,19.36834515,-34.37714337
Overberg Sandstone Fynbos,19.56834915,-34.19380637
Overberg Sandstone Fynbos,19.33501115,-34.31047537
Overberg Sandstone Fynbos,19.31834415,-34.31047537
Overberg Sandstone Fynbos,19.35167815,-34.37714337
Overberg Sandstone Fynbos,19.58501615,-34.57714737
Overberg Sandstone Fynbos,20.01835815,-34.54381337
Overberg Sandstone Fynbos,19.53501515,-34.19380637
Overberg Sandstone Fynbos,19.48501415,-34.39381037
Overberg Sandstone Fynbos,19.55168215,-34.19380637
Overberg Sandstone Fynbos,19.76835315,-34.64381537
Overberg Sandstone Fynbos,19.35167815,-34.31047537
Overberg Sandstone Fynbos,19.25167615,-34.31047537
Overberg Sandstone Fynbos,19.26834315,-34.31047537
Overberg Sandstone Fynbos,19.65168415,-34.49381237
Overberg Sandstone Fynbos,19.23500915,-34.31047537
Overberg Sandstone Fynbos,19.56834915,-34.16047237
Overberg Sandstone Fynbos,19.36834515,-34.31047537
Overberg Sandstone Fynbos,19.28501015,-34.29380837
Overberg Sandstone Fynbos,19.23500915,-34.27714137
Overberg Sandstone Fynbos,19.51834815,-34.19380637
Overberg Sandstone Fynbos,19.66835115,-34.42714437
Overberg Sandstone Fynbos,19.70168515,-34.66048237
Overberg Sandstone Fynbos,19.55168215,-34.17713937
Overberg Sandstone Fynbos,19.71835215,-34.42714437
Overberg Sandstone Fynbos,19.63501715,-34.54381337
Overberg Sandstone Fynbos,19.73501915,-34.46047837
Overberg Sandstone Fynbos,19.33501115,-34.37714337
Overberg Sandstone Fynbos,19.81835415,-34.46047837
Overberg Sandstone Fynbos,19.48501415,-34.32714237
Overberg Sandstone Fynbos,19.91835615,-34.51047937
Overberg Sandstone Fynbos,19.53501515,-34.56048037
Overberg Sandstone Fynbos,19.45168015,-34.19380637
Overberg Sandstone Fynbos,19.56834915,-34.56048037
Overberg Sandstone Fynbos,19.60168315,-34.56048037
Overberg Sandstone Fynbos,19.98502415,-34.56048037
Overberg Sandstone Fynbos,20.03502515,-34.56048037
Overberg Sandstone Fynbos,19.43501315,-34.36047637
